iter	Passed	Remaining
0	150	150450
1	152	76278
2	153	51064
3	155	38807
4	160	31895
5	162	26930
6	164	23390
7	166	20702
8	169	18634
9	171	16966
10	176	15857
11	179	14744
12	181	13767
13	183	12927
14	185	12195
15	188	11590
16	190	11043
17	193	10541
18	195	10090
19	197	9687
20	199	9319
21	201	8939
22	206	8767
23	208	8460
24	210	8201
25	212	7958
26	214	7727
27	217	7533
28	220	7387
29	222	7209
30	225	7041
31	227	6875
32	229	6721
33	233	6629
34	236	6520
35	238	6391
36	240	6269
37	243	6152
38	245	6039
39	249	5997
40	252	5901
41	254	5801
42	256	5707
43	258	5620
44	260	5522
45	266	5523
46	267	5419
47	269	5344
48	271	5274
49	274	5206
50	276	5141
51	281	5127
52	283	5062
53	285	5003
54	287	4943
55	289	4886
56	291	4828
57	297	4839
58	300	4791
59	302	4740
60	304	4691
61	307	4645
62	312	4650
63	315	4616
64	318	4580
65	321	4545
66	324	4515
67	329	4520
68	332	4483
69	334	4445
70	337	4412
71	342	4410
72	344	4375
73	347	4342
74	349	4309
75	352	4281
76	355	4257
77	359	4255
78	362	4225
79	365	4204
80	368	4184
81	376	4210
82	378	4180
83	380	4150
84	382	4119
85	385	4095
86	390	4098
87	392	4071
88	395	4044
89	397	4018
90	399	3992
91	404	3989
92	406	3964
93	408	3939
94	411	3915
95	413	3891
96	415	3869
97	421	3877
98	423	3855
99	425	3833
100	428	3813
101	430	3791
102	435	3789
103	437	3767
104	439	3745
105	441	3724
106	443	3704
107	445	3683
108	451	3688
109	453	3670
110	455	3651
111	458	3633
112	460	3614
113	462	3596
114	466	3590
115	468	3572
116	470	3554
117	473	3535
118	475	3517
119	477	3500
120	481	3500
121	484	3485
122	486	3470
123	488	3452
124	490	3436
125	495	3437
126	498	3423
127	500	3408
128	502	3393
129	504	3378
130	507	3363
131	512	3366
132	514	3354
133	516	3339
134	518	3325
135	521	3310
136	523	3295
137	527	3297
138	530	3283
139	532	3270
140	534	3257
141	536	3243
142	539	3231
143	543	3232
144	545	3214
145	547	3201
146	549	3189
147	551	3176
148	557	3182
149	559	3171
150	562	3160
151	564	3147
152	566	3135
153	569	3127
154	574	3130
155	576	3120
156	578	3107
157	580	3096
158	583	3083
159	587	3086
160	590	3075
161	592	3065
162	594	3054
163	597	3044
164	599	3033
165	604	3037
166	607	3027
167	609	3016
168	611	3006
169	613	2995
170	615	2985
171	620	2986
172	622	2976
173	624	2965
174	626	2954
175	629	2945
176	631	2936
177	636	2939
178	638	2929
179	640	2919
180	643	2910
181	645	2900
182	648	2894
183	650	2885
184	652	2875
185	655	2866
186	657	2858
187	659	2849
188	664	2849
189	667	2843
190	669	2834
191	671	2827
192	674	2819
193	676	2811
194	681	2815
195	684	2805
196	686	2797
197	688	2789
198	690	2780
199	695	2781
200	698	2777
201	700	2768
202	702	2759
203	704	2750
204	706	2741
205	711	2741
206	713	2733
207	715	2725
208	718	2717
209	720	2709
210	722	2700
211	726	2701
212	730	2700
213	733	2692
214	735	2684
215	737	2675
216	739	2668
217	745	2672
218	749	2671
219	752	2666
220	754	2658
221	760	2663
222	762	2656
223	763	2644
224	765	2636
225	767	2628
226	769	2620
227	774	2621
228	776	2613
229	778	2606
230	780	2598
231	782	2591
232	785	2584
233	789	2585
234	792	2580
235	826	2674
236	828	2668
237	831	2662
238	837	2666
239	841	2665
240	844	2660
241	847	2654
242	857	2670
243	860	2665
244	876	2701
245	879	2696
246	889	2712
247	893	2708
248	896	2702
249	903	2710
250	906	2705
251	911	2705
252	921	2720
253	926	2722
254	929	2716
255	932	2710
256	940	2717
257	943	2713
258	946	2708
259	953	2714
260	958	2712
261	960	2706
262	963	2699
263	1005	2802
264	1008	2795
265	1011	2790
266	1020	2802
267	1023	2796
268	1026	2790
269	1033	2793
270	1036	2788
271	1039	2782
272	1072	2857
273	1075	2850
274	1083	2856
275	1086	2850
276	1089	2844
277	1092	2838
278	1107	2863
279	1115	2867
280	1118	2862
281	1158	2950
282	1165	2953
283	1170	2950
284	1173	2942
